"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00014739","BOSTON, MA US","2003-02-08","12.97","0.00","0.0","21","28","14"
"USW00014739","BOSTON, MA US","2003-02-09","12.30","0.00","0.0","26","35","17"
"USW00014739","BOSTON, MA US","2003-02-10","6.71","0.02","0.8","30","36","23"
"USW00014739","BOSTON, MA US","2003-02-11","14.09","0.00","0.0","24","31","17"
"USW00014739","BOSTON, MA US","2003-02-12","17.00","0.06","0.9","24","32","15"
"USW00014739","BOSTON, MA US","2003-02-13","17.67","0.00","0.0","15","19","10"
"USW00014739","BOSTON, MA US","2003-02-14","12.75","0.00","0.0","11","21","0"
"USW00014739","BOSTON, MA US","2003-02-15","13.65","0.00","0.0","9","15","3"
"USW00014739","BOSTON, MA US","2003-02-16","8.50","0.00","0.0","8","15","0"
"USW00014739","BOSTON, MA US","2003-02-17","21.70","1.57","23.6","21","28","14"
"USW00014739","BOSTON, MA US","2003-02-18","10.74","0.20","4.0","22","28","16"
"USW00014739","BOSTON, MA US","2003-02-19","8.05","0.00","0.0","32","40","24"
"USW00014739","BOSTON, MA US","2003-02-20","11.41","0.00","0.0","41","48","33"
"USW00014739","BOSTON, MA US","2003-02-21","9.62","0.00","0.0","41","53","29"
"USW00014739","BOSTON, MA US","2003-02-22","11.18","0.69","0.0","38","40","35"
"USW00014739","BOSTON, MA US","2003-02-23","12.97","0.51","0.0","35","40","29"
"USW00014739","BOSTON, MA US","2003-02-24","13.20","0.00","0.0","30","36","24"
"USW00014739","BOSTON, MA US","2003-02-25","17.00","0.00","0.0","21","30","11"
"USW00014739","BOSTON, MA US","2003-02-26","8.05","0.00","0.0","13","20","6"
"USW00014739","BOSTON, MA US","2003-02-27","5.82","0.00","0.0","21","28","14"
"USW00014739","BOSTON, MA US","2003-02-28","7.38","0.00","0.0","27","31","23"
"USW00014739","BOSTON, MA US","2003-03-01","8.72","0.02","0.2","32","40","24"
"USW00014739","BOSTON, MA US","2003-03-02","8.72","0.85","0.1","37","41","33"
"USW00014739","BOSTON, MA US","2003-03-03","19.91","0.00","0.0","25","38","11"
"USW00014739","BOSTON, MA US","2003-03-04","13.65","0.00","0.0","22","35","9"
"USW00014739","BOSTON, MA US","2003-03-05","9.40","0.16","0.0","40","46","33"
"USW00014739","BOSTON, MA US","2003-03-06","12.30","0.38","5.8","30","44","15"
"USW00014739","BOSTON, MA US","2003-03-07","9.40","0.00","0.0","21","30","11"
"USW00014739","BOSTON, MA US","2003-03-08","11.86","0.00","0.0","35","42","27"
"USW00014739","BOSTON, MA US","2003-03-09","20.80","0.01","0.0","35","49","21"
"USW00014739","BOSTON, MA US","2003-03-10","17.90","0.00","0.0","21","26","16"
"USW00014739","BOSTON, MA US","2003-03-11","14.54","0.00","0.0","27","37","17"
"USW00014739","BOSTON, MA US","2003-03-12","14.99","0.00","0.0","42","53","31"
"USW00014739","BOSTON, MA US","2003-03-13","10.96","0.17","2.0","34","44","23"
"USW00014739","BOSTON, MA US","2003-03-14","12.30","0.00","0.0","24","31","16"
"USW00014739","BOSTON, MA US","2003-03-15","5.59","0.00","0.0","33","37","28"
"USW00014739","BOSTON, MA US","2003-03-16","4.70","0.00","0.0","36","42","30"
"USW00014739","BOSTON, MA US","2003-03-17","6.04","0.00","0.0","47","61","33"
"USW00014739","BOSTON, MA US","2003-03-18","8.05","0.00","0.0","39","43","35"
"USW00014739","BOSTON, MA US","2003-03-19","12.75","0.00","0.0","33","36","29"
"USW00014739","BOSTON, MA US","2003-03-20","8.05","0.07","0.0","35","43","27"
"USW00014739","BOSTON, MA US","2003-03-21","9.84","0.34","0.0","51","63","39"
"USW00014739","BOSTON, MA US","2003-03-22","4.92","0.00","0.0","45","50","40"
"USW00014739","BOSTON, MA US","2003-03-23","11.86","0.00","0.0","48","53","42"
"USW00014739","BOSTON, MA US","2003-03-24","8.50","0.00","0.0","41","46","36"
"USW00014739","BOSTON, MA US","2003-03-25","13.20","0.00","0.0","46","56","35"
"USW00014739","BOSTON, MA US","2003-03-26","11.63","0.12","0.0","55","68","41"
"USW00014739","BOSTON, MA US","2003-03-27","10.29","0.02","0.0","52","60","43"
"USW00014739","BOSTON, MA US","2003-03-28","9.62","0.00","0.0","51","64","37"
"USW00014739","BOSTON, MA US","2003-03-29","13.87","0.55","0.0","58","69","46"
"USW00014739","BOSTON, MA US","2003-03-30","12.53","1.30","0.0","45","55","35"
"USW00014739","BOSTON, MA US","2003-03-31","17.45","0.01","0.0","35","38","31"
"USW00014739","BOSTON, MA US","2003-04-01","10.51","0.01","0.0","36","44","28"
"USW00014739","BOSTON, MA US","2003-04-02","6.93","0.12","0.0","39","43","34"
"USW00014739","BOSTON, MA US","2003-04-03","8.05","0.03","0.0","39","40","37"
"USW00014739","BOSTON, MA US","2003-04-04","16.33","0.27","0.1","33","37","29"
"USW00014739","BOSTON, MA US","2003-04-05","13.42","0.17","0.2","33","36","30"
"USW00014739","BOSTON, MA US","2003-04-06","16.11","0.00","0.0","37","42","31"
"USW00014739","BOSTON, MA US","2003-04-07","11.63","0.02","0.4","32","35","29"
"USW00014739","BOSTON, MA US","2003-04-08","17.22","0.18","1.6","32","35","29"
"USW00014739","BOSTON, MA US","2003-04-09","10.29","0.09","0.0","36","37","34"
"USW00014739","BOSTON, MA US","2003-04-10","9.17","0.00","0.0","38","44","31"
"USW00014739","BOSTON, MA US","2003-04-11","14.54","1.27","0.0","38","41","35"
"USW00014739","BOSTON, MA US","2003-04-12","14.09","0.45","0.0","51","61","40"
"USW00014739","BOSTON, MA US","2003-04-13","10.29","0.00","0.0","46","50","41"
"USW00014739","BOSTON, MA US","2003-04-14","12.97","0.00","0.0","47","57","37"
"USW00014739","BOSTON, MA US","2003-04-15","18.57","0.00","0.0","65","81","49"
"USW00014739","BOSTON, MA US","2003-04-16","16.55","0.00","0.0","62","84","40"
"USW00014739","BOSTON, MA US","2003-04-17","17.22","0.00","0.0","36","40","31"
"USW00014739","BOSTON, MA US","2003-04-18","12.30","0.00","0.0","37","43","31"
"USW00014739","BOSTON, MA US","2003-04-19","9.17","0.00","0.0","42","48","36"
"USW00014739","BOSTON, MA US","2003-04-20","8.28","0.00","0.0","44","52","36"
"USW00014739","BOSTON, MA US","2003-04-21","9.40","0.08","0.0","47","54","40"
"USW00014739","BOSTON, MA US","2003-04-22","8.05","0.49","0.0","46","49","43"
"USW00014739","BOSTON, MA US","2003-04-23","10.74","0.00","0.0","47","52","42"
"USW00014739","BOSTON, MA US","2003-04-24","16.11","0.02","0.0","43","48","37"
"USW00014739","BOSTON, MA US","2003-04-25","10.74","0.00","0.0","49","61","37"
"USW00014739","BOSTON, MA US","2003-04-26","14.76","0.80","0.0","48","50","45"
"USW00014739","BOSTON, MA US","2003-04-27","9.84","0.00","0.0","51","59","43"
"USW00014739","BOSTON, MA US","2003-04-28","11.41","0.00","0.0","62","79","45"
"USW00014739","BOSTON, MA US","2003-04-29","12.30","0.00","0.0","68","81","55"
"USW00014739","BOSTON, MA US","2003-04-30","12.75","0.00","0.0","55","59","50"
"USW00014739","BOSTON, MA US","2003-05-01","11.86","0.09","0.0","56","62","49"
"USW00014739","BOSTON, MA US","2003-05-02","17.45","0.00","0.0","62","76","48"
"USW00014739","BOSTON, MA US","2003-05-03","12.30","0.03","0.0","51","56","46"
"USW00014739","BOSTON, MA US","2003-05-04","7.38","0.00","0.0","51","59","42"
"USW00014739","BOSTON, MA US","2003-05-05","9.17","0.00","0.0","54","63","45"
"USW00014739","BOSTON, MA US","2003-05-06","6.26","0.02","0.0","51","53","48"
"USW00014739","BOSTON, MA US","2003-05-07","7.16","0.00","0.0","63","77","49"
"USW00014739","BOSTON, MA US","2003-05-08","8.50","0.12","0.0","52","58","46"
"USW00014739","BOSTON, MA US","2003-05-09","7.38","0.04","0.0","54","61","46"
"USW00014739","BOSTON, MA US","2003-05-10","9.17","0.00","0.0","61","74","47"
"USW00014739","BOSTON, MA US","2003-05-11","13.65","0.08","0.0","51","55","47"
"USW00014739","BOSTON, MA US","2003-05-12","9.84","0.10","0.0","49","52","45"
"USW00014739","BOSTON, MA US","2003-05-13","8.72","0.03","0.0","54","62","46"
"USW00014739","BOSTON, MA US","2003-05-14","9.17","0.04","0.0","57","65","49"
"USW00014739","BOSTON, MA US","2003-05-15","9.62","0.00","0.0","53","60","45"
"USW00014739","BOSTON, MA US","2003-05-16","15.43","0.00","0.0","46","49","43"
"USW00014739","BOSTON, MA US","2003-05-17","11.18","0.00","0.0","47","50","43"
"USW00014739","BOSTON, MA US","2003-05-18","5.82","0.00","0.0","52","64","39"
"USW00014739","BOSTON, MA US","2003-05-19","7.38","0.00","0.0","64","75","52"
"USW00014739","BOSTON, MA US","2003-05-20","9.40","0.00","0.0","67","82","51"
"USW00014739","BOSTON, MA US","2003-05-21","10.29","0.09","0.0","63","70","55"
"USW00014739","BOSTON, MA US","2003-05-22","12.30","0.07","0.0","53","56","49"
"USW00014739","BOSTON, MA US","2003-05-23","12.75","0.13","0.0","49","51","47"
"USW00014739","BOSTON, MA US","2003-05-24","13.87","0.32","0.0","48","49","46"
"USW00014739","BOSTON, MA US","2003-05-25","9.17","0.08","0.0","51","55","47"
"USW00014739","BOSTON, MA US","2003-05-26","10.29","1.24","0.0","51","54","47"
"USW00014739","BOSTON, MA US","2003-05-27","8.28","0.00","0.0","53","57","48"
"USW00014739","BOSTON, MA US","2003-05-28","8.95","1.47","0.0","61","66","55"
"USW00014739","BOSTON, MA US","2003-05-29","12.08","0.00","0.0","64","74","53"
"USW00014739","BOSTON, MA US","2003-05-30","6.93","0.01","0.0","66","75","56"
"USW00014739","BOSTON, MA US","2003-05-31","7.83","0.16","0.0","63","70","55"
"USW00014739","BOSTON, MA US","2003-06-01","17.22","1.14","0.0","57","61","53"
"USW00014739","BOSTON, MA US","2003-06-02","15.21","0.00","0.0","62","72","52"
"USW00014739","BOSTON, MA US","2003-06-03","11.63","0.00","0.0","63","73","53"
"USW00014739","BOSTON, MA US","2003-06-04","9.62","0.03","0.0","58","63","53"
"USW00014739","BOSTON, MA US","2003-06-05","6.71","0.13","0.0","58","62","53"
"USW00014739","BOSTON, MA US","2003-06-06","11.18","0.00","0.0","70","81","59"
"USW00014739","BOSTON, MA US","2003-06-07","5.82","0.80","0.0","62","68","56"
"USW00014739","BOSTON, MA US","2003-06-08","8.05","0.00","0.0","60","64","55"
"USW00014739","BOSTON, MA US","2003-06-09","8.05","0.00","0.0","60","63","56"
"USW00014739","BOSTON, MA US","2003-06-10","10.29","0.00","0.0","69","79","59"
"USW00014739","BOSTON, MA US","2003-06-11","10.29","0.21","0.0","68","77","59"
"USW00014739","BOSTON, MA US","2003-06-12","7.38","0.00","0.0","65","71","59"
"USW00014739","BOSTON, MA US","2003-06-13","9.62","0.15","0.0","58","61","55"
"USW00014739","BOSTON, MA US","2003-06-14","6.71","0.07","0.0","64","73","55"
"USW00014739","BOSTON, MA US","2003-06-15","7.16","0.00","0.0","64","73","54"
"USW00014739","BOSTON, MA US","2003-06-16","10.07","0.00","0.0","55","59","51"
"USW00014739","BOSTON, MA US","2003-06-17","10.29","0.00","0.0","62","73","50"
"USW00014739","BOSTON, MA US","2003-06-18","9.17","0.16","0.0","62","67","57"
"USW00014739","BOSTON, MA US","2003-06-19","4.25","0.00","0.0","68","75","60"
"USW00014739","BOSTON, MA US","2003-06-20","7.61","0.00","0.0","65","70","60"
"USW00014739","BOSTON, MA US","2003-06-21","6.71","0.21","0.0","62","66","58"
"USW00014739","BOSTON, MA US","2003-06-22","10.51","1.76","0.0","59","60","57"
"USW00014739","BOSTON, MA US","2003-06-23","6.04","0.03","0.0","62","67","57"
"USW00014739","BOSTON, MA US","2003-06-24","5.82","0.00","0.0","68","78","58"
"USW00014739","BOSTON, MA US","2003-06-25","6.04","0.00","0.0","77","89","64"
"USW00014739","BOSTON, MA US","2003-06-26","7.16","0.00","0.0","80","86","73"
"USW00014739","BOSTON, MA US","2003-06-27","8.95","0.00","0.0","83","93","73"
"USW00014739","BOSTON, MA US","2003-06-28","9.40","0.00","0.0","75","80","69"
"USW00014739","BOSTON, MA US","2003-06-29","9.40","0.00","0.0","74","82","65"
"USW00014739","BOSTON, MA US","2003-06-30","10.51","0.00","0.0","77","87","66"
"USW00014739","BOSTON, MA US","2003-07-01","8.72","0.00","0.0","74","83","64"
"USW00014739","BOSTON, MA US","2003-07-02","9.17","0.00","0.0","73","80","65"
"USW00014739","BOSTON, MA US","2003-07-03","10.51","0.00","0.0","73","81","65"
"USW00014739","BOSTON, MA US","2003-07-04","8.28","0.00","0.0","79","89","68"
"USW00014739","BOSTON, MA US","2003-07-05","11.63","0.00","0.0","84","93","75"
"USW00014739","BOSTON, MA US","2003-07-06","10.29","0.00","0.0","86","93","78"
"USW00014739","BOSTON, MA US","2003-07-07","6.93","0.00","0.0","75","81","68"
"USW00014739","BOSTON, MA US","2003-07-08","9.17","0.00","0.0","80","91","69"
"USW00014739","BOSTON, MA US","2003-07-09","7.61","0.10","0.0","73","81","65"
"USW00014739","BOSTON, MA US","2003-07-10","8.72","0.00","0.0","66","72","59"
"USW00014739","BOSTON, MA US","2003-07-11","8.72","0.21","0.0","63","66","59"
"USW00014739","BOSTON, MA US","2003-07-12","10.07","0.00","0.0","72","85","59"
"USW00014739","BOSTON, MA US","2003-07-13","9.17","0.00","0.0","75","85","65"
"USW00014739","BOSTON, MA US","2003-07-14","6.71","0.00","0.0","71","78","64"
"USW00014739","BOSTON, MA US","2003-07-15","8.28","0.00","0.0","70","76","63"
"USW00014739","BOSTON, MA US","2003-07-16","10.07","0.02","0.0","70","78","62"
"USW00014739","BOSTON, MA US","2003-07-17","8.28","0.00","0.0","77","82","66"
"USW00014739","BOSTON, MA US","2003-07-18","9.40","0.17","0.0","74","81","66"
"USW00014739","BOSTON, MA US","2003-07-19","6.93","0.43","0.0","71","76","65"
"USW00014739","BOSTON, MA US","2003-07-20","8.72","0.00","0.0","75","84","65"
"USW00014739","BOSTON, MA US","2003-07-21","14.32","0.00","0.0","75","84","66"
"USW00014739","BOSTON, MA US","2003-07-22","12.30","0.32","0.0","79","85","72"
"USW00014739","BOSTON, MA US","2003-07-23","11.41","0.63","0.0","76","82","70"
"USW00014739","BOSTON, MA US","2003-07-24","12.53","0.23","0.0","76","82","69"
"USW00014739","BOSTON, MA US","2003-07-25","11.18","0.00","0.0","78","86","70"
"USW00014739","BOSTON, MA US","2003-07-26","12.08","0.00","0.0","78","88","67"
"USW00014739","BOSTON, MA US","2003-07-27","14.76","0.00","0.0","81","89","73"
"USW00014739","BOSTON, MA US","2003-07-28","11.41","0.00","0.0","77","84","70"
"USW00014739","BOSTON, MA US","2003-07-29","8.50","0.00","0.0","71","77","65"
"USW00014739","BOSTON, MA US","2003-07-30","9.17","0.00","0.0","74","82","65"
"USW00014739","BOSTON, MA US","2003-07-31","6.93","0.00","0.0","68","73","62"
"USW00014739","BOSTON, MA US","2003-08-01","7.38","0.85","0.0","64","67","61"
"USW00014739","BOSTON, MA US","2003-08-02","5.59","0.05","0.0","65","70","60"
"USW00014739","BOSTON, MA US","2003-08-03","4.92","0.16","0.0","72","80","64"
"USW00014739","BOSTON, MA US","2003-08-04","8.05","0.24","0.0","74","81","67"
"USW00014739","BOSTON, MA US","2003-08-05","8.72","0.01","0.0","77","84","70"
"USW00014739","BOSTON, MA US","2003-08-06","11.18","0.00","0.0","79","86","71"
"USW00014739","BOSTON, MA US","2003-08-07","5.59","0.35","0.0","73","79","67"
"USW00014739","BOSTON, MA US","2003-08-08","5.37","0.89","0.0","74","79","68"
"USW00014739","BOSTON, MA US","2003-08-09","6.71","0.01","0.0","76","83","69"
"USW00014739","BOSTON, MA US","2003-08-10","13.87","0.21","0.0","79","86","71"
"USW00014739","BOSTON, MA US","2003-08-11","9.62","0.00","0.0","81","88","73"
"USW00014739","BOSTON, MA US","2003-08-12","7.83","0.04","0.0","74","80","67"
"USW00014739","BOSTON, MA US","2003-08-13","6.71","0.05","0.0","77","87","66"
"USW00014739","BOSTON, MA US","2003-08-14","11.41","0.00","0.0","82","89","74"
"USW00014739","BOSTON, MA US","2003-08-15","8.50","0.00","0.0","79","88","69"
"USW00014739","BOSTON, MA US","2003-08-16","10.51","0.00","0.0","81","89","72"
"USW00014739","BOSTON, MA US","2003-08-17","6.71","0.03","0.0","71","75","67"
"USW00014739","BOSTON, MA US","2003-08-18","6.93","0.00","0.0","70","74","65"
"USW00014739","BOSTON, MA US","2003-08-19","8.95","0.00","0.0","77","87","66"
"USW00014739","BOSTON, MA US","2003-08-20","8.05","0.00","0.0","79","89","69"
"USW00014739","BOSTON, MA US","2003-08-21","8.50","0.00","0.0","82","90","73"
"USW00014739","BOSTON, MA US","2003-08-22","12.75","0.00","0.0","83","93","73"
"USW00014739","BOSTON, MA US","2003-08-23","13.20",,"0.0","75","84","65"
"USW00014739","BOSTON, MA US","2003-08-24","14.32",,"0.0","68","76","60"
"USW00014739","BOSTON, MA US","2003-08-25","9.40","0.00","0.0","73","82","64"
"USW00014739","BOSTON, MA US","2003-08-26","10.07","0.00","0.0","72","76","67"
"USW00014739","BOSTON, MA US","2003-08-27","13.20","0.00","0.0","79","87","70"
"USW00014739","BOSTON, MA US","2003-08-28","8.50","0.00","0.0","69","76","61"
"USW00014739","BOSTON, MA US","2003-08-29","10.51","0.00","0.0","71","82","59"
"USW00014739","BOSTON, MA US","2003-08-30","11.41","0.00","0.0","73","84","62"
"USW00014739","BOSTON, MA US","2003-08-31","8.95","0.00","0.0","61","67","55"
"USW00014739","BOSTON, MA US","2003-09-01","8.95","0.00","0.0","65","70","59"
"USW00014739","BOSTON, MA US","2003-09-02","6.49","0.40","0.0","62","66","57"
"USW00014739","BOSTON, MA US","2003-09-03","8.50","0.00","0.0","64","68","59"
"USW00014739","BOSTON, MA US","2003-09-04","4.03","0.41","0.0","68","74","62"
"USW00014739","BOSTON, MA US","2003-09-05","5.82","0.00","0.0","69","74","63"
"USW00014739","BOSTON, MA US","2003-09-06","8.28","0.00","0.0","65","71","58"
"USW00014739","BOSTON, MA US","2003-09-07","8.05","0.00","0.0","70","81","59"
"USW00014739","BOSTON, MA US","2003-09-08","9.62","0.00","0.0","64","70","58"
"USW00014739","BOSTON, MA US","2003-09-09","11.41","0.00","0.0","59","65","53"
"USW00014739","BOSTON, MA US","2003-09-10","6.04","0.00","0.0","60","71","49"
"USW00014739","BOSTON, MA US","2003-09-11","8.50","0.00","0.0","67","73","60"
"USW00014739","BOSTON, MA US","2003-09-12","8.50","0.00","0.0","63","67","58"
"USW00014739","BOSTON, MA US","2003-09-13","9.17","0.00","0.0","64","70","58"
"USW00014739","BOSTON, MA US","2003-09-14","6.26","0.00","0.0","70","76","64"
"USW00014739","BOSTON, MA US","2003-09-15","7.38","0.00","0.0","68","73","63"
"USW00014739","BOSTON, MA US","2003-09-16","8.05","0.53","0.0","72","80","63"
"USW00014739","BOSTON, MA US","2003-09-17","7.38","0.00","0.0","66","72","59"
"USW00014739","BOSTON, MA US","2003-09-18","14.09","0.00","0.0","64","70","58"
"USW00014739","BOSTON, MA US","2003-09-19","14.09","0.20","0.0","69","73","64"
"USW00014739","BOSTON, MA US","2003-09-20","8.05","0.00","0.0","76","83","68"
"USW00014739","BOSTON, MA US","2003-09-21","8.05","0.00","0.0","67","72","61"
"USW00014739","BOSTON, MA US","2003-09-22","7.16","0.00","0.0","65","70","59"
"USW00014739","BOSTON, MA US","2003-09-23","14.76","1.05","0.0","68","75","61"
"USW00014739","BOSTON, MA US","2003-09-24","10.29","0.00","0.0","66","74","58"
"USW00014739","BOSTON, MA US","2003-09-25","11.86","0.00","0.0","68","77","58"
"USW00014739","BOSTON, MA US","2003-09-26","6.93","0.00","0.0","64","67","61"
"USW00014739","BOSTON, MA US","2003-09-27","8.95","0.00","0.0","67","71","62"
"USW00014739","BOSTON, MA US","2003-09-28","7.16","0.06","0.0","66","69","63"
"USW00014739","BOSTON, MA US","2003-09-29","11.18","0.00","0.0","64","72","56"
"USW00014739","BOSTON, MA US","2003-09-30","10.29","0.00","0.0","60","67","52"
"USW00014739","BOSTON, MA US","2003-10-01","6.49","0.00","0.0","55","63","47"
"USW00014739","BOSTON, MA US","2003-10-02","10.74","0.08","0.0","55","64","45"
"USW00014739","BOSTON, MA US","2003-10-03","10.96","0.00","0.0","50","59","41"
"USW00014739","BOSTON, MA US","2003-10-04","10.96","0.11","0.0","54","62","45"
"USW00014739","BOSTON, MA US","2003-10-05","12.97","0.00","0.0","54","60","47"
"USW00014739","BOSTON, MA US","2003-10-06","8.72","0.00","0.0","51","60","42"
"USW00014739","BOSTON, MA US","2003-10-07","10.07","0.00","0.0","52","62","41"
"USW00014739","BOSTON, MA US","2003-10-08","10.51","0.00","0.0","62","74","50"
"USW00014739","BOSTON, MA US","2003-10-09","7.16","0.00","0.0","62","71","53"
"USW00014739","BOSTON, MA US","2003-10-10","8.05","0.00","0.0","58","62","53"
"USW00014739","BOSTON, MA US","2003-10-11","6.93","0.00","0.0","55","59","51"
"USW00014739","BOSTON, MA US","2003-10-12","9.40","2.00","0.0","55","59","50"
"USW00014739","BOSTON, MA US","2003-10-13","12.75","0.00","0.0","63","70","55"
"USW00014739","BOSTON, MA US","2003-10-14","8.95","0.00","0.0","54","61","47"
"USW00014739","BOSTON, MA US","2003-10-15","23.71","1.40","0.0","58","64","52"
"USW00014739","BOSTON, MA US","2003-10-16","14.09","0.00","0.0","54","62","46"
"USW00014739","BOSTON, MA US","2003-10-17","8.05","0.01","0.0","53","58","47"
"USW00014739","BOSTON, MA US","2003-10-18","6.93","0.05","0.0","50","55","44"
"USW00014739","BOSTON, MA US","2003-10-19","6.71","0.00","0.0","43","45","40"
"USW00014739","BOSTON, MA US","2003-10-20","9.62","0.00","0.0","45","54","36"
"USW00014739","BOSTON, MA US","2003-10-21","16.11","0.02","0.0","58","70","46"
"USW00014739","BOSTON, MA US","2003-10-22","11.41","0.01","0.0","46","53","39"
"USW00014739","BOSTON, MA US","2003-10-23","14.09","0.01","0.0","39","41","36"
"USW00014739","BOSTON, MA US","2003-10-24","10.74","0.00","0.0","41","48","34"
"USW00014739","BOSTON, MA US","2003-10-25","7.83","0.00","0.0","45","56","33"
"USW00014739","BOSTON, MA US","2003-10-26","13.20","0.00","0.0","56","63","49"
"USW00014739","BOSTON, MA US","2003-10-27","13.42","1.00","0.0",,"66","56"
"USW00014739","BOSTON, MA US","2003-10-28","8.72","0.02","0.0","54","57","50"
"USW00014739","BOSTON, MA US","2003-10-29","15.88","1.49","0.0","61","70","51"
"USW00014739","BOSTON, MA US","2003-10-30","11.41","0.00","0.0","52","58","46"
"USW00014739","BOSTON, MA US","2003-10-31","9.17","0.00","0.0","54","65","43"
"USW00014739","BOSTON, MA US","2003-11-01","9.40","0.00","0.0","65","76","54"
"USW00014739","BOSTON, MA US","2003-11-02","7.16","0.03","0.0","58","64","52"
"USW00014739","BOSTON, MA US","2003-11-03","5.59","0.30","0.0","59","65","52"
"USW00014739","BOSTON, MA US","2003-11-04","14.99","0.01","0.0","48","52","44"
"USW00014739","BOSTON, MA US","2003-11-05","7.61","0.69","0.0","48","54","41"
"USW00014739","BOSTON, MA US","2003-11-06","5.59","0.00","0.0","54","58","50"
"USW00014739","BOSTON, MA US","2003-11-07","9.40","0.00","0.0","52","55","48"
"USW00014739","BOSTON, MA US","2003-11-08","16.33","0.00","0.0","39","49","28"
"USW00014739","BOSTON, MA US","2003-11-09","10.96","0.00","0.0","34","40","27"
"USW00014739","BOSTON, MA US","2003-11-10","8.50","0.00","0.0","38","48","28"
"USW00014739","BOSTON, MA US","2003-11-11","6.04","0.14","0.0","41","50","32"
"USW00014739","BOSTON, MA US","2003-11-12","6.71","0.00","0.0","50","52","47"
"USW00014739","BOSTON, MA US","2003-11-13","20.80","0.17","0.0","50","59","40"
"USW00014739","BOSTON, MA US","2003-11-14","21.70","0.00","0.0","37","40","33"
"USW00014739","BOSTON, MA US","2003-11-15","16.78","0.00","0.0","38","44","32"
"USW00014739","BOSTON, MA US","2003-11-16","8.95","0.00","0.0","39","47","31"
"USW00014739","BOSTON, MA US","2003-11-17","3.58","0.03","0.0","41","45","37"
"USW00014739","BOSTON, MA US","2003-11-18","6.71","0.00","0.0","42","49","35"
"USW00014739","BOSTON, MA US","2003-11-19","10.74","0.00","0.0","51","58","43"
